id,lat,lng
36630,40.2925,140.039
36637,39.3345,140.474
36639,39.8831,139.989
36642,39.9636,139.915
36652,54.6,-5.91667
43021,34.9872,137.085
7826,31.7833,35.2167
36674,39.2865,139.961
36680,39.5438,140.056
43085,51.3809,-0.0306
7996,37.9667,23.7167
7996,37.9977,23.6997
7996,38.0101,23.7225
43089,69.6472,18.8083
36751,35.8378,139.36
61072,35.9511,136.202
43172,43.2984,144.608
36779,35.01,134.308
8078,37.7541,140.46
8078,37.7557,140.46
43175,43.2021,144.504
61073,36.0334,136.255
36780,26.4602,127.871
36782,26.2757,127.781
8372,34.2141,135.584
61076,36.0863,136.279
36785,39.1936,140.19
36787,39.4434,140.096
61079,36.1452,136.285
36788,39.4919,140.426
43183,43.4874,144.464
61080,36.2352,136.28
43184,43.1517,144.497
43233,37.2667,127.017
61081,36.2921,136.288
8587,35.1814,136.906
61083,36.3723,136.359
36881,34.7946,135.449
61084,36.3959,136.392
36886,34.7791,135.465
43333,36.6932,138.978
36888,34.7718,135.468
61088,36.4222,136.43
36889,34.7633,135.475
61090,36.5038,136.497
8645,32.0833,34.8
61092,36.563,136.596
61092,36.5729,136.607
43338,36.3225,139.013
61093,36.606,136.669
61096,36.6302,136.85
43340,36.2188,139.18
36924,34.9197,135
8655,35.1036,139.077
61097,36.6236,136.953
36942,35.1958,136.93
43343,34.9716,138.389
61098,36.6699,137.031
43345,35.3158,136.686
61099,36.6909,137.081
36959,34.6142,135.886
61100,36.6806,137.132
36963,34.6976,136.062
61101,36.6851,137.325
36966,34.78,132.455
61102,36.741,137.379
36976,35.205,136.988
36994,39.5461,140.37
36999,39.5961,140.562
61103,36.8148,137.427
37000,39.4213,140.545
37030,23.702,90.3669
61104,36.8822,137.487
43588,34.8995,137.243
61107,37.0007,137.722
61108,37.0275,137.853
37125,25.7878,-80.2242
61110,37.0908,137.987
37133,41.9786,-87.9047
61111,37.1666,138.113
37230,35.0562,133.819
8956,35.4586,-119.355
43594,34.9519,137.167
61112,36.6551,137.206
9163,35.0214,138.88
9163,33.4497,135.726
37231,35.0644,133.974
61113,37.1508,138.262
37232,34.6977,133.755
43651,43.6165,144.458
37233,35.1037,133.781
61114,37.2168,138.325
9467,59.3333,18.05
43657,42.9903,144.382
37234,34.8829,132.193
61116,37.2684,138.393
37237,35.0219,134.195
43665,42.9954,144.412
61117,37.3376,138.476
37238,34.8591,133.101
61119,37.3605,138.593
